"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 15 16:14:38 GMT 2022","Sat Oct 15 16:14:43 GMT 2022","5581","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","videoFormTest","Проверка появления окна с видео",""
"passed","Sat Oct 15 16:14:06 GMT 2022","Sat Oct 15 16:14:16 GMT 2022","10738","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","upperBarTest","Проверка drop-down menu)",""
"passed","Sat Oct 15 16:14:43 GMT 2022","Sat Oct 15 16:14:49 GMT 2022","6161","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","availabilityOfPublicationTest","Проверка наличия публикаций в разделе ""СМИ о нас""",""
"passed","Sat Oct 15 16:14:23 GMT 2022","Sat Oct 15 16:14:30 GMT 2022","7347","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для EN отображаются кнопки основых разделов на странице [Selecty, Services, Career, Contacts]",""
"passed","Sat Oct 15 16:14:17 GMT 2022","Sat Oct 15 16:14:23 GMT 2022","6480","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для RU отображаются кнопки основых разделов на странице [Selecty, Услуги, Карьера, Контакты]",""
"passed","Sat Oct 15 16:14:30 GMT 2022","Sat Oct 15 16:14:38 GMT 2022","7155","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","newResumeFormTest","Проверка появления окна с предупреждением о необходимости заполнения обязательных полей для отправки резюме",""
