"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 15 16:18:53 GMT 2022","Sat Oct 15 16:19:05 GMT 2022","11902","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","upperBarTest","Проверка drop-down menu)",""
"passed","Sat Oct 15 16:19:05 GMT 2022","Sat Oct 15 16:19:12 GMT 2022","6990","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для RU отображаются кнопки основых разделов на странице [Selecty, Услуги, Карьера, Контакты]",""
"passed","Sat Oct 15 16:19:43 GMT 2022","Sat Oct 15 16:19:50 GMT 2022","6596","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","availabilityOfPublicationTest","Проверка наличия публикаций в разделе ""СМИ о нас""",""
"failed","Sat Oct 15 16:19:21 GMT 2022","Sat Oct 15 16:19:38 GMT 2022","17177","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","newResumeFormTest","Проверка появления окна с предупреждением о необходимости заполнения обязательных полей для отправки резюме",""
"passed","Sat Oct 15 16:19:12 GMT 2022","Sat Oct 15 16:19:21 GMT 2022","8211","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для EN отображаются кнопки основых разделов на странице [Selecty, Services, Career, Contacts]",""
"passed","Sat Oct 15 16:19:38 GMT 2022","Sat Oct 15 16:19:43 GMT 2022","5581","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","videoFormTest","Проверка появления окна с видео",""
