"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 15 15:51:24 GMT 2022","Sat Oct 15 15:51:31 GMT 2022","6515","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для EN отображаются кнопки основых разделов на странице [Selecty, Services, Career, Contacts]",""
"passed","Sat Oct 15 15:51:07 GMT 2022","Sat Oct 15 15:51:18 GMT 2022","10857","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","upperBarTest","Проверка drop-down menu)",""
"passed","Sat Oct 15 15:51:42 GMT 2022","Sat Oct 15 15:51:49 GMT 2022","6338","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","availabilityOfPublicationTest","Проверка наличия публикаций в разделе ""СМИ о нас""",""
"passed","Sat Oct 15 15:51:37 GMT 2022","Sat Oct 15 15:51:42 GMT 2022","5385","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","videoFormTest","Проверка появления окна с видео",""
"passed","Sat Oct 15 15:51:18 GMT 2022","Sat Oct 15 15:51:24 GMT 2022","6229","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для RU отображаются кнопки основых разделов на странице [Selecty, Услуги, Карьера, Контакты]",""
"passed","Sat Oct 15 15:51:31 GMT 2022","Sat Oct 15 15:51:37 GMT 2022","5994","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","newResumeFormTest","Проверка появления окна с предупреждением о необходимости заполнения обязательных полей для отправки резюме",""
