"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 15 16:02:37 GMT 2022","Sat Oct 15 16:02:44 GMT 2022","7726","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для EN отображаются кнопки основых разделов на странице [Selecty, Services, Career, Contacts]",""
"failed","Sat Oct 15 16:02:44 GMT 2022","Sat Oct 15 16:02:56 GMT 2022","11732","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","newResumeFormTest","Проверка появления окна с предупреждением о необходимости заполнения обязательных полей для отправки резюме",""
"passed","Sat Oct 15 16:02:30 GMT 2022","Sat Oct 15 16:02:36 GMT 2022","6244","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для RU отображаются кнопки основых разделов на странице [Selecty, Услуги, Карьера, Контакты]",""
"passed","Sat Oct 15 16:02:56 GMT 2022","Sat Oct 15 16:03:02 GMT 2022","5503","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","videoFormTest","Проверка появления окна с видео",""
"passed","Sat Oct 15 16:03:02 GMT 2022","Sat Oct 15 16:03:08 GMT 2022","6256","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","availabilityOfPublicationTest","Проверка наличия публикаций в разделе ""СМИ о нас""",""
"passed","Sat Oct 15 16:02:19 GMT 2022","Sat Oct 15 16:02:30 GMT 2022","11083","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","upperBarTest","Проверка drop-down menu)",""
