"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 15 18:59:01 GMT 2022","Sat Oct 15 18:59:07 GMT 2022","5712","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для RU отображаются кнопки основых разделов на странице [Selecty, Услуги, Карьера, Контакты]",""
"passed","Sat Oct 15 18:59:14 GMT 2022","Sat Oct 15 18:59:19 GMT 2022","5065","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","videoFormTest","Проверка появления окна с видео",""
"passed","Sat Oct 15 18:59:19 GMT 2022","Sat Oct 15 18:59:25 GMT 2022","5695","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","availabilityOfPublicationTest","Проверка наличия публикаций в разделе ""СМИ о нас""",""
"passed","Sat Oct 15 18:58:51 GMT 2022","Sat Oct 15 18:59:01 GMT 2022","9998","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","upperBarTest","Проверка drop-down menu)",""
"passed","Sat Oct 15 18:59:13 GMT 2022","Sat Oct 15 18:59:14 GMT 2022","923","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","newResumeFormTest","Проверка появления окна с предупреждением о необходимости заполнения обязательных полей для отправки резюме",""
"passed","Sat Oct 15 18:59:07 GMT 2022","Sat Oct 15 18:59:13 GMT 2022","6182","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для EN отображаются кнопки основых разделов на странице [Selecty, Services, Career, Contacts]",""
