"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 15 18:48:26 GMT 2022","Sat Oct 15 18:48:31 GMT 2022","4642","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для EN отображаются кнопки основых разделов на странице [Selecty, Services, Career, Contacts]",""
"failed","Sat Oct 15 18:48:21 GMT 2022","Sat Oct 15 18:48:26 GMT 2022","4885","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для RU отображаются кнопки основых разделов на странице [Selecty, Услуги, Карьера, Контакты]",""
"failed","Sat Oct 15 18:48:40 GMT 2022","Sat Oct 15 18:48:45 GMT 2022","4825","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","availabilityOfPublicationTest","Проверка наличия публикаций в разделе ""СМИ о нас""",""
"failed","Sat Oct 15 18:48:35 GMT 2022","Sat Oct 15 18:48:40 GMT 2022","5042","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","videoFormTest","Проверка появления окна с видео",""
"failed","Sat Oct 15 18:48:31 GMT 2022","Sat Oct 15 18:48:35 GMT 2022","4689","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","newResumeFormTest","Проверка появления окна с предупреждением о необходимости заполнения обязательных полей для отправки резюме",""
"failed","Sat Oct 15 18:48:12 GMT 2022","Sat Oct 15 18:48:21 GMT 2022","8756","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","upperBarTest","Проверка drop-down menu)",""
