"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 15 15:47:04 GMT 2022","Sat Oct 15 15:47:10 GMT 2022","5367","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","videoFormTest","Проверка появления окна с видео",""
"passed","Sat Oct 15 15:46:29 GMT 2022","Sat Oct 15 15:46:39 GMT 2022","10074","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","upperBarTest","Проверка drop-down menu)",""
"passed","Sat Oct 15 15:46:45 GMT 2022","Sat Oct 15 15:46:52 GMT 2022","7207","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для EN отображаются кнопки основых разделов на странице [Selecty, Services, Career, Contacts]",""
"failed","Sat Oct 15 15:46:53 GMT 2022","Sat Oct 15 15:47:04 GMT 2022","11756","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","newResumeFormTest","Проверка появления окна с предупреждением о необходимости заполнения обязательных полей для отправки резюме",""
"passed","Sat Oct 15 15:46:39 GMT 2022","Sat Oct 15 15:46:45 GMT 2022","6165","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","langUpperBarTest","Проверка заголовков основных разделов при выборе русского и анлийского языка Для RU отображаются кнопки основых разделов на странице [Selecty, Услуги, Карьера, Контакты]",""
"passed","Sat Oct 15 15:47:10 GMT 2022","Sat Oct 15 15:47:16 GMT 2022","6489","","com.example.tests.MainPageTest","","com.example.tests.MainPageTest","availabilityOfPublicationTest","Проверка наличия публикаций в разделе ""СМИ о нас""",""
